row_index,time_seconds,observed,u_cmd,placeholder_prediction,fitted_prediction,prediction_delta,placeholder_recommended_action,fitted_recommended_action,action_delta,action_disagreement,placeholder_safety_ok,fitted_safety_ok,fitted_new_safety_regression_vs_placeholder,actuator_applied
0,0.0,80.0,80.0,6.4,79.01226526385717,72.61226526385717,87.3607213,80.09949477361428,-7.2612265263857125,True,True,True,False,False
1,5.010999999999996,80.009038,80.0,12.288,77.99723907911745,65.70923907911745,86.7719213,80.20099739208825,-6.570923907911748,True,True,True,False,False
2,10.025999999999996,79.965649,80.0,17.70496,76.95416737372153,59.24920737372153,86.2302253,80.30530456262785,-5.9249207373721475,True,True,True,False,False
3,15.033999999999999,80.073785,80.0,22.688563200000004,75.88227524034122,53.19371204034121,85.73186498,80.41249377596588,-5.319371204034113,True,True,True,False,False
4,20.046,79.802054,80.0,27.273478144000002,74.78076636069378,47.50728821669377,85.2733734856,80.52264466393062,-4.750728821669384,True,True,True,False,False
5,25.055,80.056603,80.0,31.491599892480004,73.64882241394996,42.157222521469954,84.851561310752,80.635839058605,-4.215722252147003,True,True,True,False,False
6,60.084999999999994,100.571483,104.0,35.372271901081604,72.48560246879612,37.11333056771451,108.46349410989184,104.75216105312039,-3.7113330567714513,True,True,True,False,False
7,65.097,103.961397,104.0,40.86249014899508,71.29024235869878,30.427752209703698,107.91447228510049,104.87169706413012,-3.04277522097037,True,True,True,False,False
8,70.11,104.120627,104.0,45.91349093707547,70.06185403990757,24.1483631028321,107.40937220629246,104.99453589600924,-2.4148363102832207,True,True,True,False,False
9,75.124,103.918543,104.0,50.56041166210944,68.79952493171957,18.239113269610137,106.94468013378906,105.12076880682804,-1.8239113269610243,True,True,True,False,False
10,80.137,103.921395,104.0,54.835578729140686,67.5023172385149,12.66673850937422,106.51716342708593,105.25048957614851,-1.2666738509374227,True,True,True,False,False
11,85.14999999999999,104.127293,104.0,58.768732430809436,66.16926725305994,7.400534822250506,106.12384805691906,105.38379457469401,-0.7400534822250506,True,True,True,False,False
12,120.17299999999999,119.40925,122.0,62.387233836344684,64.79938464056058,2.412150804215891,123.76199791636553,123.52078283594395,-0.24121508042158268,True,True,True,False,False
13,125.18499999999999,122.09543,122.0,67.15625512943711,63.39165170293363,-3.7646034265034842,123.28509578705629,123.66155612970664,0.376460342650347,True,True,True,False,False
14,130.197,121.902781,122.0,71.54375471908214,61.94502262274979,-9.598732096332355,122.84634582809178,123.80621903772501,0.9598732096332299,True,True,True,False,False
15,135.209,122.118798,122.0,75.58025434155559,60.458422686286475,-15.121831655269112,122.44269586584444,123.95487903137135,1.5121831655269062,True,True,True,False,False
16,140.221,121.906342,122.0,79.29383399423115,58.93074748511335,-20.3630865091178,122.07133790057688,124.10764655148867,2.036308650911792,True,True,True,False,False
17,145.235,122.058523,122.0,82.71032727469267,57.36086209561741,-25.349465179075267,121.72968857253073,124.26463509043826,2.534946517907528,True,True,True,False,False
18,180.257,127.121717,128.0,85.85350109271727,55.74760023585804,-30.10590085685923,127.41537119072828,130.4259612764142,3.0105900856859193,True,True,True,False,False
19,185.26799999999997,128.108067,128.0,89.22522100529989,54.08976339912571,-35.13545760617418,127.07819919947,130.59174496008742,3.5135457606174185,True,True,True,False,False
20,190.28199999999998,127.836932,128.0,92.3272033248759,52.386119963560574,-39.94108336131532,126.7680009675124,130.76210930364394,3.994108336131532,True,True,True,False,False
21,195.29500000000002,128.078861,128.0,95.18102705888582,49.67595564754932,-45.505071411336495,126.48261859411141,131.03312573524508,4.550507141133664,True,True,True,False,False
22,200.308,128.052896,128.0,97.80654489417495,46.890908564522704,-50.915636329652244,126.22006681058251,131.31163044354773,5.091563632965219,True,True,True,False,False
23,205.322,128.049882,128.0,100.22202130264095,44.02890967801575,-56.1931116246252,125.9785191697359,131.5978303321984,5.619311162462509,True,True,True,False,False
24,240.344,122.836479,122.0,102.44425959842968,41.08783278337829,-61.35642681505139,119.75629534015704,125.89193802166217,6.135642681505132,True,True,True,False,False
25,245.35700000000003,122.085331,122.0,104.00871883055531,38.06549292819844,-65.94322590235687,119.59984941694447,126.19417200718016,6.5943225902356915,True,True,True,False,False
26,250.37,122.078469,122.0,105.4480213241109,34.95964478908184,-70.48837653502906,119.45591916758892,126.50475682109182,7.0488376535029005,True,True,True,False,False
27,255.38300000000004,121.895556,122.0,106.77217961818204,31.048394531365634,-75.7237850868164,119.3235033381818,126.89588184686343,7.572378508681638,True,True,True,False,False
28,260.396,122.087567,122.0,107.99040524872748,27.02907509125445,-80.96133015747303,119.20168077512726,127.29781379087456,8.096133015747299,True,True,True,False,False
29,265.408,121.908,122.0,109.1111728288293,22.898700480275565,-86.21247234855373,119.08960401711707,127.71085125197244,8.621247234855375,True,True,True,False,False
30,300.427,106.596733,104.0,110.14227900252297,18.654202206073432,-91.48807679644953,100.9864933997477,110.13530107939266,9.14880767964496,True,True,True,False,False
31,305.44,103.939728,104.0,109.65089668232113,14.292426992799204,-95.35846968952193,101.03563163176788,110.57147860072008,9.5358469689522,True,True,True,False,False
32,310.45300000000003,103.934478,104.0,109.19882494773546,9.810134438513808,-99.38869050922165,101.08083880522645,111.01970785614861,9.938869050922165,True,True,True,False,False
33,315.466,104.125678,104.0,108.78291895191663,4.964132450459219,-103.81878650145741,101.12242940480834,111.50430805495408,10.381878650145737,True,True,True,False,False
34,320.479,103.932743,104.0,108.4002854357633,-0.015766230014961025,-108.41605166577826,101.16069275642367,112.00229792300149,10.841605166577821,True,True,True,False,False
35,325.491,103.954577,104.0,108.04826260090223,-5.133261214317289,-113.18152381521952,101.19589503990977,112.51404742143173,11.318152381521955,True,True,True,False,False
36,360.51,83.439574,80.0,107.72440159283005,-10.392154335384932,-118.11655592821498,77.228281140717,89.0399367335385,11.811655592821495,True,True,True,False,False
37,365.523,79.987646,80.0,105.50644946540365,-15.796352472099457,-121.3028019375031,77.45007635345964,89.58035654720995,12.130280193750309,True,True,True,False,False
38,370.536,79.999729,80.0,103.46593350817136,-21.34987045174221,-124.81580395991357,77.65412794918286,90.13570834517422,12.481580395991358,True,True,True,False,False
39,375.546,80.029264,80.0,101.58865882751766,-26.816971875240466,-128.40563070275812,77.84185541724824,90.68241848752405,12.840563070275806,True,True,True,False,False
40,380.558,80.012155,80.0,99.86156612131626,-32.43513118099574,-132.296697302312,78.01456468786837,91.24423441809958,13.229669730231208,True,True,True,False,False
41,385.564,80.09993,80.0,98.27264083161097,-38.208522149961496,-136.48116298157248,78.1734572168389,91.82157351499615,13.648116298157248,True,True,True,False,False
42,420.584,59.424052,56.0,96.8108295650821,-44.14143388608649,-140.9522634511686,54.31963834349179,68.41486468860865,14.095226345116856,True,True,True,False,False
43,425.59700000000004,56.057709,56.0,93.54596319987554,-50.23827400272859,-143.78423720260412,54.646124980012445,69.02454870027286,14.378423720260415,True,True,True,False,False
44,430.61,55.848995,56.0,90.5422861438855,-56.503571897110305,-147.04585804099582,54.94649268561145,69.65107848971104,14.704585804099587,True,True,True,False,False
45,435.616,56.136081,56.0,87.77890325237468,-62.222395643033444,-150.00129889540813,55.22283097476253,70.22296086430335,15.000129889540815,True,True,True,False,False
46,440.63,56.038007,56.0,85.2365909921847,-68.0992324450794,-153.33582343726408,55.47706220078153,70.81064454450794,15.333582343726405,True,True,True,False,False
47,445.64300000000003,55.858534,56.0,82.89766371280993,-74.13844825803442,-157.03611197084433,55.710954928719005,71.41456612580345,15.703611197084442,True,True,True,False,False
48,480.66300000000007,40.605531,38.0,80.74585061578514,-80.3445296695088,-161.09038028529395,37.926136238421485,54.03517426695088,16.109038028529397,True,True,True,False,False
49,485.676,37.898251,38.0,77.32618256652235,-86.72208723306308,-164.04826979958543,38.268103043347764,54.67293002330631,16.404826979958543,True,True,True,False,False
50,490.68800000000005,37.910937,38.0,74.18008796120057,-93.27585889342961,-167.45594685463018,38.58271250387995,55.328307189342965,16.74559468546302,True,True,True,False,False
51,495.69800000000004,38.123763,38.0,71.28568092430453,-99.05126487675405,-170.33694580105856,38.872153207569546,55.90584778767541,17.033694580105866,True,True,True,False,False
52,500.71,37.908224,38.0,68.62282645036018,-104.98624730277365,-173.60907375313383,39.138438654963984,56.499346030277366,17.36090737531338,True,True,True,False,False
53,505.72200000000004,38.113206,38.0,66.17300033433138,-111.08521532318039,-177.25821565751176,39.38342126656686,57.109242832318046,17.725821565751183,True,True,True,False,False
54,540.742,32.866249,32.0,63.91916030758487,-117.35269991603559,-181.27186022362045,33.608805269241515,51.73599129160356,18.127186022362046,True,True,True,False,False
55,545.7539999999999,31.925745,32.0,61.365627482978084,-123.79335725187411,-185.1589847348522,33.86415855170219,52.38005702518741,18.515898473485223,True,True,True,False,False
56,550.769,31.904625,32.0,59.01637728433984,-130.41197215281528,-189.42834943715513,34.09908357156602,53.04191851528153,18.94283494371551,True,True,True,False,False
57,555.78,32.126407,32.0,56.85506710159266,-136.25401301762992,-193.10908011922257,34.315214589840735,53.626122601762994,19.31090801192226,True,True,True,False,False
58,560.794,31.916028,32.0,54.86666173346525,-142.2574714697066,-197.12413320317182,34.514055126653474,54.22646844697066,19.712413320317182,True,True,True,False,False
59,565.8,32.158251,32.0,53.03732879478803,-148.4268075321914,-201.46413632697943,34.696988420521194,54.84340205321914,20.146413632697943,True,True,True,False,False
60,600.8259999999999,37.115729,38.0,51.354342491204996,-154.7666044601954,-206.12094695140038,40.8652870508795,61.477381746019546,20.612094695140044,True,True,True,False,False
61,605.841,38.08299,38.0,50.285995091908596,-161.28157214573605,-211.56756723764465,40.97212179080914,62.12887851457361,21.156756723764467,True,True,True,False,False
62,610.8539999999999,37.903138,38.0,49.30311548455591,-167.97655061675815,-217.27966610131406,41.07040975154441,62.79837636167582,21.72796661013141,True,True,True,False,False
63,615.866,38.106534,38.0,48.39886624579144,-174.1369271606189,-222.53579340641033,41.16083467542086,63.4144140160619,22.25357934064104,True,True,True,False,False
64,620.882,37.880531,38.0,47.56695694612812,-180.46751701543488,-228.034473961563,41.244025605387186,64.0474730015435,22.803447396156308,True,True,True,False,False
65,625.8969999999999,38.087882,38.0,46.801600390437876,-186.9730232332062,-233.77462362364406,41.32056126095621,64.69802362332062,23.37746236236441,True,True,True,False,False
66,660.918,53.424863,56.0,46.09747235920285,-193.65827881286836,-239.7557511720712,59.390974064079714,83.36654918128684,23.97557511720713,True,True,True,False,False
67,665.93,55.863093,56.0,46.889674570466624,-200.52825029077053,-247.41792486123717,59.31175384295334,84.05354632907705,24.741792486123714,True,True,True,False,False
68,670.944,56.042933,56.0,47.61850060482929,-207.5880414303599,-255.20654203518922,59.238871239517074,84.75952544303598,25.52065420351891,True,True,True,False,False
69,675.957,56.053846,56.0,48.28902055644295,-214.6030348564083,-262.8920554128513,59.1718192443557,85.46102478564083,26.289205541285128,True,True,True,False,False
70,680.9699999999999,56.05348,56.0,48.90589891192752,-221.81185495017337,-270.7177538621009,59.11013140880725,86.18190679501734,27.071775386210092,True,True,True,False,False
71,685.982,55.866248,56.0,49.47342699897332,-229.21985720877916,-278.69328420775247,59.05337860010267,86.92270702087792,27.869328420775254,True,True,True,False,False
72,721.001,76.558024,80.0,49.99555283905546,-236.83254510356693,-286.8280979426224,83.00116601609446,111.6839758103567,28.68280979426224,True,True,True,False,False
73,726.015,79.984435,80.0,52.39590861193103,-244.65557416867352,-297.05148278060454,82.7611304388069,112.46627871686735,29.70514827806045,True,True,True,False,False
74,731.026,80.02316,80.0,54.60423592297654,-252.69475620257833,-307.2989921255549,82.54029770770235,113.27019692025783,30.72989921255548,True,True,True,False,False
75,736.04,79.968151,80.0,56.63589704913842,-261.1959257431456,-317.831822792284,82.33713159508616,114.12031387431456,31.7831822792284,True,True,True,False,False
76,741.0519999999999,80.017614,80.0,58.505025285207346,-269.9319855057941,-328.43701079100146,82.15021877147926,114.99391985057942,32.84370107910016,True,True,True,False,False
77,746.064,80.005388,80.0,60.22462326239076,-278.90942558769996,-339.1340488500907,81.97825897376093,115.89166385876999,33.91340488500906,True,True,True,False,False
